gene_id	likelihood	aic	w
b0002	-11597.2152971662	23210.4	0.0970869
b0003	-4483.32325257118	8982.65	0.132751
b0004	-6064.95985823992	12145.9	0.117689
b0006	-3923.12421178044	7862.25	0.152029
b0014	-6577.55495569721	13171.1	0.0935675
b0015	-4641.11722645663	9298.23	0.0858524
b0019	-6903.4255679828	13822.9	0.259933
b0023	-763.444031067237	1542.89	0.180008
b0025	-4911.67532066263	9839.35	0.184794
b0026	-12658.3804339092	25332.8	0.145012
b0027	-2485.50562112509	4987.01	0.249244
b0028	-2364.07164066739	4744.14	0.187051
b0029	-4302.25975432592	8620.52	0.0810062
b0031	-4143.01410014174	8302.03	0.131393
b0032	-4980.33888721154	9976.68	0.117388
b0033	-12061.9289383651	24139.9	0.047043
b0048	-2233.7149459681	4483.43	0.090553
b0049	-4346.46086927674	8708.92	0.116479
b0050	-1783.85432593575	3583.71	0.140198
b0051	-3686.02155581498	7388.04	0.11758
b0052	-5241.17021952814	10498.3	0.182933
b0053	-6246.32619198102	12508.7	0.141564
b0054	-12053.8940648162	24123.8	0.145931
b0055	-4049.23210586518	8114.46	0.123055
b0058	-3057.87359532315	6131.75	0.0836039
b0059	-13416.4440751313	26848.9	0.164647
b0066	-4064.36664042276	8144.73	0.165004
b0067	-8728.09789640704	17472.2	0.204962
b0068	-5093.92658759347	10203.9	0.181153
b0071	-2888.46703051347	5792.93	0.0931556
b0072	-6071.35690954514	12158.7	0.0819184
b0073	-4986.56579240199	9989.13	0.0930894
b0074	-7156.73762532775	14329.5	0.0946852
b0080	-4307.9478401672	8631.9	0.065149
b0081	-1914.16597232938	3844.33	0.126291
b0082	-4338.30058464133	8692.6	0.143146
b0083	-1508.88003885231	3033.76	0.156082
b0084	-7336.06372493231	14688.1	0.119328
b0085	-7410.66669988469	14837.3	0.17079
b0086	-7450.42843261681	14916.9	0.231912
b0087	-4047.70680451226	8111.41	0.0669649
b0088	-6935.4678679244	13886.9	0.141707
b0089	-5549.28270124807	11114.6	0.114962
b0090	-5242.33890566069	10500.7	0.15004
b0091	-6450.67238724406	12917.3	0.102701
b0093	-4086.64507181975	8189.29	0.162303
b0094	-4540.71818351741	9097.44	0.0394925
b0096	-3308.56769432	6633.14	0.0697674
b0097	-3358.81768499707	6733.64	0.375622
b0098	-10929.7193876717	21875.4	0.0805572
b0099	-2386.79963431118	4789.6	0.218833
b0102	-4201.96318637115	8419.93	0.219953
b0103	-3809.65786027159	7635.32	0.239267
b0109	-4821.82977538442	9659.66	0.184213
b0112	-6870.88590576092	13757.8	0.157201
b0113	-3353.40729912215	6722.81	0.0870145
b0114	-9596.2715179623	19208.5	0.0917505
b0115	-7519.11516344155	15054.2	0.165238
b0116	-4929.38487040312	9874.77	0.0813865
b0118	-10470.2174970177	20956.4	0.0690479
b0120	-3202.72557510052	6421.45	0.0642022
b0121	-3984.51661813569	7985.03	0.111579
b0125	-2304.31142359349	4624.62	0.141748
b0126	-3096.12473179244	6208.25	0.114777
b0127	-4221.48163051666	8458.96	0.101008
b0128	-3400.52731621014	6817.05	0.0939161
b0131	-1732.92231725816	3481.84	0.0989212
b0133	-4759.02347904938	9534.05	0.156725
b0134	-4221.67622354134	8459.35	0.146289
b0142	-3057.5268301988	6131.05	0.199145
b0143	-6955.8055419691	13927.6	0.183144
b0144	-5389.03363645832	10794.1	0.215531
b0145	-1443.36707970704	2902.73	0.0309223
b0146	-4055.6275492344	8127.26	0.218754
b0149	-12355.518624373	24727	0.126419
b0154	-5670.620154099	11357.2	0.107172
b0156	-1356.13025114591	2728.26	0.0929909
b0159	-3463.60574739086	6943.21	0.169292
b0163	-1608.22915175888	3232.46	0.0780986
b0166	-3449.33562092811	6914.67	0.076165
b0167	-13719.636736906	27455.3	0.158223
b0168	-3425.24328962994	6866.49	0.115613
b0169	-2143.51595422373	4303.03	0.0889296
b0170	-3330.19471234224	6676.39	0.21058
b0171	-2672.91439166783	5361.83	0.0646122
b0172	-2312.04294386677	4640.09	0.123549
b0173	-6473.70270077244	12963.4	0.17699
b0174	-3798.74650094067	7613.49	0.155819
b0175	-4356.55940550525	8729.12	0.211333
b0176	-6738.46557082729	13492.9	0.214469
b0177	-10795.2185043565	21606.4	0.109518
b0178	-2419.06989582403	4854.14	0.232495
b0179	-4386.66417702822	8789.33	0.122866
b0180	-1711.43961248992	3438.88	0.0858514
b0181	-3566.89963912188	7149.8	0.147798
b0182	-5682.15425642059	11380.3	0.123626
b0183	-2862.66513419654	5741.33	0.102421
b0184	-14296.0929010341	28608.2	0.0704535
b0185	-3669.28676714818	7354.57	0.093068
b0188	-9230.12631233933	18476.3	0.314941
b0189	-1467.27641417197	2950.55	0.111792
b0194	-7233.95534717418	14483.9	0.110271
b0195	-3585.54360604392	7187.09	0.16515
b0196	-2338.36399130164	4692.73	0.354083
b0197	-3441.89344603333	6899.79	0.0796835
b0198	-2942.90803705986	5901.82	0.0911906
b0199	-4823.47924718428	9662.96	0.110703
b0200	-2745.02407483251	5506.05	0.125128
b0209	-4682.04737038898	9380.09	0.14792
b0211	-6969.91822476663	13955.8	0.198252
b0212	-4486.05060941585	8988.1	0.197344
b0213	-4155.29729557336	8326.59	0.227678
b0214	-2243.05435269582	4502.11	0.0952284
b0215	-3558.76977199992	7133.54	0.102447
b0222	-2427.13748107959	4870.27	0.0763155
b0223	-3616.59555793793	7249.19	0.0917027
b0237	-7054.04749061162	14124.1	0.134776
b0238	-1746.26606276782	3508.53	0.0558822
b0239	-7094.27911530501	14204.6	0.200923
b0242	-5100.66770181914	10217.3	0.0927339
b0243	-6525.09479483699	13066.2	0.172225
b0369	-5759.66197820868	11535.3	0.202684
b0386	-4946.1894438502	9908.38	0.303551
b0388	-3594.5387912866	7205.08	0.319434
b0393	-4332.27576788686	8680.55	0.145161
b0401	-6612.33308701779	13240.7	0.190303
b0402	-6252.73670566443	12521.5	0.143425
b0405	-4871.42416847515	9758.85	0.0976881
b0406	-4277.98338469443	8571.97	0.0599161
b0407	-1236.16904148354	2488.34	0.197214
b0408	-7781.11368854813	15578.2	0.12881
b0409	-4248.41259255837	8512.83	0.143112
b0414	-6103.49816514692	12223	0.162844
b0415	-1972.10149457573	3960.2	0.156165
b0416	-1774.29645374019	3564.59	0.14051
b0417	-5171.65292720024	10359.3	0.168657
b0418	-2560.81587066855	5137.63	0.119671
b0420	-8493.08242622917	17002.2	0.0824694
b0421	-4896.70790016904	9809.42	0.167538
b0423	-6715.47133988673	13446.9	0.110391
b0425	-5370.79185404379	10757.6	0.213993
b0434	-3148.87980900138	6313.76	0.167051
b0435	-1578.16304234089	3172.33	0.150989
b0436	-4983.2131743426	9982.43	0.152683
b0437	-2285.92754686522	4587.86	0.045588
b0438	-4687.16605838108	9390.33	0.046655
b0439	-9023.39862101551	18062.8	0.0563566
b0440	-1033.46226416119	2082.92	0.0715119
b0441	-10729.4977718169	21475	0.259472
b0444	-3353.12828324532	6722.26	0.10372
b0448	-9441.60187077814	18899.2	0.143596
b0449	-9602.62151953617	19221.2	0.160962
b0450	-1379.59936241868	2775.2	0.0807487
b0451	-6434.72461563271	12885.4	0.171669
b0460	-867.574900332148	1751.15	0.0465462
b0463	-6086.37899923671	12188.8	0.193987
b0464	-3699.27164610259	7414.54	0.198954
b0469	-2678.76237906567	5373.52	0.170053
b0470	-10483.8218832664	20983.6	0.20395
