gene_id	likelihood	aic	w
b0002	-3517.68767884892	7049.38	0.0381725
b0003	-1326.42500812189	2666.85	0.0378182
b0004	-1787.2024358104	3588.4	0.0777116
b0006	-1086.41694722529	2186.83	0.102077
b0008	-1303.10019844481	2620.2	0
b0009	-823.623373406322	1661.25	0.0504667
b0010	-773.246591885479	1560.49	0
b0011	-1032.66619842348	2079.33	0.058564
b0013	-560.688008057496	1135.38	0.236076
b0014	-2586.08167463272	5186.16	0
b0015	-1558.61557048301	3131.23	0.119161
b0018	-269.529981502741	553.06	2e-07
b0019	-1612.25242171772	3238.5	0.162898
b0020	-1242.62670110767	2499.25	1.13308
b0021	-673.305549845763	1360.61	9.35098
b0023	-341.933850597525	697.868	2.98128e-11
b0024	-298.667264538867	611.335	15.629
b0025	-1308.42075139747	2630.84	0
b0026	-3884.21653577788	7782.43	0
b0027	-651.512242925253	1317.02	0.0274581
b0028	-605.035117589988	1224.07	0
b0029	-1305.29334514153	2624.59	0
b0030	-1424.60790610176	2863.22	0.0377576
b0031	-1150.56232431359	2315.12	0.0618877
b0032	-1608.79197648004	3231.58	0
b0033	-4560.08066814452	9134.16	0.0129991
b0034	-715.014201214248	1444.03	0.232864
b0035	-854.361612241423	1722.72	0.484874
b0036	-1282.23067583428	2578.46	0.195121
b0037	-2280.32367673254	4574.65	0.198286
b0039	-1531.27560673218	3076.55	0
b0040	-2044.58986473303	4103.18	0
b0041	-1098.15858776606	2210.32	0
b0042	-1277.10632841783	2568.21	0
b0043	-1827.83419193057	3669.67	0.014265
b0044	-386.613869368685	787.228	0
b0046	-740.689913676946	1495.38	0.281998
b0047	-2555.46361653536	5124.93	0.107389
b0048	-660.568531314999	1335.14	0
b0049	-1169.47338689747	2352.95	0
b0050	-508.745715291308	1031.49	0
b0051	-1145.80581903663	2305.61	0
b0052	-1435.11395937213	2884.23	0.104899
b0053	-1755.83814667348	3525.68	0
b0054	-3218.78371675802	6451.57	0.0418792
b0055	-1127.32971427502	2268.66	0.035496
b0058	-914.690339491716	1843.38	0
b0059	-3968.65413778934	7951.31	0.0422717
b0060	-3332.89186058463	6679.78	0.0236118
b0061	-926.949431787816	1867.9	10.5279
b0062	-2098.68064346333	4211.36	0.0253965
b0063	-2420.60423149198	4855.21	0.159557
b0064	-1217.87083143724	2449.74	0.0797852
b0065	-1084.10247581797	2182.2	0.062513
b0066	-1056.34137948619	2126.68	0.0545914
b0067	-2374.27029328258	4762.54	0.114633
b0068	-1474.08621157007	2962.17	0.0932351
b0069	-2463.96136947817	4941.92	0.0715171
b0070	-1581.48199642184	3176.96	0.528907
b0071	-824.667372730265	1663.33	0
b0072	-1964.7466638872	3943.49	0.0746275
b0073	-1581.50871630366	3177.02	0.0302534
b0074	-2192.61030711403	4399.22	0.0244215
b0076	-1549.21240861871	3112.42	0.0721124
b0077	-2518.87233097917	5051.74	0.0631961
b0078	-696.301647745857	1406.6	0.38615
b0080	-1404.97545971519	2823.95	0.0448697
b0081	-627.048280730589	1268.1	1.72629
b0082	-1282.65182855334	2579.3	0.223221
b0083	-484.780602312154	983.561	0.207312
b0084	-2403.30179344941	4820.6	0.206989
b0085	-2087.54305899303	4189.09	0.138313
b0086	-1891.3681760528	3796.74	0.0349145
b0087	-1457.87176663552	2929.74	0
b0088	-1986.90444644634	3987.81	0.0293764
b0089	-1713.97128905256	3441.94	0
b0090	-1485.76608987281	2985.53	0.0406012
b0091	-2066.50687386565	4147.01	0.0349452
b0092	-1286.35123782849	2586.7	0
b0093	-1131.64646823711	2277.29	0.116057
b0094	-1708.40304647888	3430.81	0
b0095	-1519.76057902455	3053.52	0.542496
b0096	-1234.39584891847	2482.79	0
b0097	-802.655285458963	1619.31	0
b0098	-3722.07421916606	7458.15	0
b0099	-551.844774694598	1117.69	0.03542
b0101	-268.650303025545	551.301	0
b0102	-1003.62943342984	2021.26	0
b0103	-824.964832955447	1663.93	0
b0104	-1464.81538438399	2943.63	0
b0106	-1700.22526066317	3414.45	0.102481
b0108	-611.614241577039	1237.23	0.0534432
b0109	-1250.04328879067	2514.09	0.118621
b0110	-784.191524937385	1582.38	0.190494
b0111	-1162.56908996334	2339.14	0
b0112	-1984.052088006	3982.1	0.0207986
b0113	-1033.47951978151	2080.96	0
b0114	-3676.06665221211	7366.13	0.0164734
b0115	-2621.14841863366	5256.3	0.031198
b0116	-1943.87187044905	3901.74	0
b0117	-2799.67633175463	5613.35	0.200099
b0118	-3760.81896029548	7535.64	0
b0119	-538.821763575713	1091.64	0
b0120	-1062.88282840624	2139.77	0
b0121	-1212.7100579221	2439.42	0.0814127
b0122	-641.256742523961	1296.51	0
b0123	-2265.57981562544	4545.16	0.0598761
b0124	-3466.27811649229	6946.56	0.0382568
b0125	-732.27791771553	1478.56	18.3799
b0126	-918.778751362018	1851.56	0
b0127	-1268.90959780075	2551.82	0
b0128	-1025.45068422963	2064.9	0
b0129	-621.903843909045	1257.81	0.101542
b0130	-1789.71473724106	3593.43	0.11268
b0131	-498.0894057727	1010.18	2e-07
b0132	-1411.76744893108	2837.53	0.167165
b0133	-1271.48756862444	2556.98	0.0195545
b0134	-1214.04070292924	2442.08	0.0887616
b0136	-1097.85685984874	2209.71	0.214205
b0137	-919.709810143058	1853.42	0.0803021
b0140	-1055.14739113564	2124.29	0.182163
b0141	-817.681336377356	1649.36	0
b0142	-769.089412669785	1552.18	0.10696
b0143	-1902.12768167442	3818.26	0
b0144	-1293.53320364839	2601.07	0.0495598
b0145	-600.897009029635	1215.79	0.0978338
b0146	-990.238942272386	1994.48	0.533448
b0147	-740.193433447855	1494.39	0
b0148	-3563.17174840809	7140.34	0.146351
b0149	-3683.12659758481	7380.25	0.0190816
b0150	-4690.55776960827	9395.12	0.0884938
b0151	-1114.75615727331	2243.51	0.0914021
b0152	-1267.12411112679	2548.25	0.0334181
b0153	-2821.15057399964	5656.3	0.0189532
b0154	-1853.21903991434	3720.44	0.0565378
b0155	-1921.44045764322	3856.88	0
b0156	-470.641973838214	955.284	0
b0157	-854.148694965608	1722.3	0.149776
b0158	-1100.45190057916	2214.9	0
b0159	-945.623173202653	1905.25	0
b0161	-1966.36054482503	3946.72	0
b0162	-1627.46300262826	3268.93	0.0346262
b0163	-501.935251454358	1017.87	0
b0164	-1073.20940059204	2160.42	0.306497
b0166	-1119.36419441589	2252.73	0
b0167	-3847.3840421801	7708.77	0.0321801
b0168	-1085.7058758999	2185.41	0.0521855
b0169	-966.068492017671	1946.14	5.541
b0170	-1118.82895518858	2251.66	0
b0171	-962.446492873132	1938.89	0.042629
b0172	-742.066514167712	1498.13	0
b0173	-1635.42730681179	3284.85	0
b0174	-1047.04585344323	2108.09	0.234896
b0175	-1031.53338511032	2077.07	0
b0176	-1848.75508602135	3711.51	0.0967989
b0177	-3347.4538053579	6708.91	0
b0178	-648.619438917966	1311.24	0
b0179	-1372.21470040229	2758.43	0.201769
b0180	-608.70847457372	1231.42	0.0426472
b0181	-1043.95021526065	2101.9	0.0535403
b0182	-1582.76946046203	3179.54	0
b0183	-787.577562313377	1589.16	2e-07
b0184	-4812.88288918044	9639.77	0.0257397
b0185	-1325.56061929601	2665.12	0.0831936
b0186	-3057.97579743435	6129.95	0.0172032
b0187	-595.784970077927	1205.57	0.0307366
b0188	-1972.93133434562	3959.86	0.189773
b0189	-359.676385717735	733.353	1.15417
b0190	-752.360559254532	1518.72	0.345814
b0192	-1033.99359662859	2081.99	0.0836582
b0193	-1279.81265984188	2573.63	0.221825
b0194	-2330.07682629793	4674.15	0.111795
b0195	-967.370363855767	1948.74	0
b0196	-568.190709251205	1150.38	0.154542
b0197	-1143.66220498855	2301.32	0.0216811
b0198	-890.907807762023	1795.82	0
b0199	-1436.10679239841	2886.21	0.0390796
b0200	-776.807536296033	1567.62	0
b0207	-1142.25979875311	2298.52	0.0238557
b0208	-1280.1168011364	2574.23	0.211666
b0209	-1119.93611509091	2253.87	0
b0210	-901.349338940339	1816.7	1.14463
b0211	-1877.51726882393	3769.03	0
b0212	-1046.69176999563	2107.38	0.0347892
b0213	-1069.11793135165	2152.24	0.177437
b0214	-664.319761857791	1342.64	0
b0215	-1038.73568612234	2091.47	0.069717
b0217	-1192.27649738726	2398.55	0.256387
b0218	-442.845688070313	899.691	0
b0219	-1105.24108259279	2224.48	0.314694
b0220	-646.663203064037	1307.33	0.771872
b0221	-3463.73550864459	6941.47	0.0272698
b0222	-782.614803063945	1579.23	0
b0223	-1098.67773856208	2211.36	0
b0224	-1028.66925614394	2071.34	0
b0225	-375.034311823663	764.069	22.2646
b0226	-355.497990945943	724.996	0.212947
b0227	-1198.26151785486	2410.52	0.0357176
b0228	-738.393232145286	1490.79	0.0997095
b0229	-2557.26447383186	5128.53	0.0258201
b0230	-1093.29707152125	2200.59	0.0460525
b0231	-1518.80159778149	3051.6	0
b0234	-670.948352815601	1355.9	0.201958
b0236	-719.294790336585	1452.59	0.0401496
b0237	-2053.61033719398	4121.22	0.0357321
b0238	-615.283175946089	1244.57	0
b0239	-1784.67721375039	3583.35	0.0683621
b0240	-562.049763554557	1138.1	0.0960399
b0241	-1447.39344368397	2908.79	0
b0242	-1501.03682807645	3016.07	0
b0243	-1674.48092235515	3362.96	0
b0287	-1340.48759649847	2694.98	0.00533765
b0299	-2279.79322752395	4573.59	8572.36
b0301	-845.280117219527	1704.56	0.320252
b0303	-317.799681786169	649.599	23.5474
b0304	-1894.47072787097	3802.94	0.107857
b0305	-1202.30658916388	2418.61	0.139673
b0306	-994.599846038772	2003.2	0.37199
b0307	-1986.53326712666	3987.07	0.226431
b0308	-1222.96030845746	2459.92	0.0899555
b0319	-1258.38820929552	2530.78	0.393531
b0320	-2262.66249936844	4539.32	0.0930905
b0321	-1997.31397952397	4008.63	0.0157435
b0323	-1417.6800369922	2849.36	0.0933294
b0324	-2043.79352263837	4101.59	0.0527722
b0325	-1465.70841294097	2945.42	0.244221
b0326	-1120.96140891989	2255.92	0.331654
b0327	-392.941369500321	799.883	40.4932
b0328	-935.967476193992	1885.93	0.263151
b0343	-3286.13288742991	6586.27	120.615
b0344	-4556.85113976292	9127.7	0.140331
b0345	-1459.04824177417	2932.1	0
b0347	-2347.32128850092	4708.64	0.190378
b0348	-1291.95602699609	2597.91	0
b0350	-1165.66346396918	2345.33	0.190627
b0351	-1295.68788235338	2605.38	0
b0352	-1380.08458951115	2774.17	0.312217
b0353	-1732.2555761278	3478.51	0.122572
b0354	-954.082303255524	1922.16	0.283046
b0355	-1190.81024199941	2395.62	0.325197
b0356	-1564.614473762	3143.23	0.0437272
