gene_id	likelihood	aic	w
b0002	-3517.48286450664	7050.97	0.0358862
b0003	-1326.10308878446	2668.21	0.0320991
b0004	-1787.20169541156	3590.4	0.0769462
b0006	-1086.36149006876	2188.72	0.101365
b0008	-1302.92577218908	2621.85	0
b0009	-823.622997364089	1663.25	0.0503308
b0010	-773.020658979937	1562.04	0
b0011	-1030.63103201149	2077.26	0.0652251
b0013	-560.52259205648	1137.05	0.230433
b0014	-2585.98201971785	5187.96	0
b0015	-1557.35344239186	3130.71	0.141301
b0018	-269.529981500072	555.06	3.52248e-06
b0019	-1612.17561711819	3240.35	0.197049
b0020	-1242.31305304722	2500.63	1.2246
b0021	-672.878719995274	1361.76	10.7571
b0023	-341.933850597729	699.868	4.35287e-06
b0024	-298.577769297427	613.156	33.701
b0025	-1308.3220523799	2632.64	0
b0026	-3882.94512341444	7781.89	0
b0027	-651.512242926519	1319.02	4.12458e-11
b0028	-605.035117586315	1226.07	0
b0029	-1305.20737358365	2626.41	0
b0030	-1424.56676731284	2865.13	0.0371184
b0031	-1150.11268521963	2316.23	0.0445132
b0032	-1608.62679914302	3233.25	0
b0033	-4560.05034297503	9136.1	0.0132531
b0034	-714.034969398675	1444.07	0.266539
b0035	-854.032725391199	1724.07	0.587603
b0036	-1282.15679775667	2580.31	0.236397
b0037	-2279.80181470019	4575.6	0.212143
b0039	-1531.27560672482	3078.55	0
b0040	-2044.441527281	4104.88	0
b0041	-1096.38511611526	2208.77	0
b0042	-1277.01678363617	2570.03	0
b0043	-1827.73524356444	3671.47	0.0148554
b0044	-385.609379653352	787.219	0
b0046	-740.616599479577	1497.23	0.275252
b0047	-2555.45491081282	5126.91	0.105865
b0048	-659.608109672265	1335.22	0
b0049	-1168.97811146219	2353.96	0
b0050	-508.745715294308	1033.49	0
b0051	-1145.80577114194	2307.61	0
b0052	-1433.86676773237	2883.73	0.0887913
b0053	-1755.72723154877	3527.45	0
b0054	-3218.78175900278	6453.56	0.041945
b0055	-1126.9400060395	2269.88	0.0418503
b0058	-914.678009251056	1845.36	0
b0059	-3964.71096266133	7945.42	0.0206967
b0060	-3332.87607174005	6681.75	0.0239657
b0061	-926.268453579329	1868.54	29.9288
b0062	-2098.48998562301	4212.98	0.0234768
b0063	-2417.25662917716	4850.51	0.175709
b0064	-1217.84630893318	2451.69	0.0770808
b0065	-1084.03857578405	2184.08	0.0602884
b0066	-1056.24187492993	2128.48	0.0546427
b0067	-2373.55910982133	4763.12	0.119322
b0068	-1472.95328454198	2961.91	0.081209
b0069	-2463.96035724834	4943.92	0.0714193
b0070	-1581.23098882949	3178.46	0.521434
b0071	-823.689385128505	1663.38	0
b0072	-1964.654157315	3945.31	0.0700004
b0073	-1581.45851112503	3178.92	0.0290512
b0074	-2192.60483204371	4401.21	0.0245572
b0076	-1548.71635474759	3113.43	0.0764864
b0077	-2518.27662290763	5052.55	0.0705015
b0078	-695.992758461543	1407.99	0.453023
b0080	-1404.88171438836	2825.76	0.0460581
b0081	-627.048287015492	1270.1	1.72542
b0082	-1282.52297602831	2581.05	0.241067
b0083	-484.780602313018	985.561	2e-07
b0084	-2402.97111033842	4821.94	0.149422
b0085	-2087.39332682067	4190.79	0.150455
b0086	-1891.35216872998	3798.7	0.0341262
b0087	-1457.08380915812	2930.17	0
b0088	-1982.60193624462	3981.2	0.0204973
b0089	-1713.92604727124	3443.85	0
b0090	-1485.59865406633	2987.2	0.0428385
b0091	-2065.78046051254	4147.56	0.0291127
b0092	-1286.34993113137	2588.7	0
b0093	-1131.34966182778	2278.7	0.12906
b0094	-1708.32416960383	3432.65	0
b0095	-1519.60602737312	3055.21	0.593933
b0096	-1234.39584891076	2484.79	0
b0097	-802.655285453672	1621.31	0
b0098	-3721.01335004301	7458.03	0
b0099	-551.820149572291	1119.64	0.0370709
b0101	-267.205488277338	550.411	0
b0102	-1003.62943342507	2023.26	0
b0103	-824.871190498994	1665.74	0
b0104	-1463.38804161962	2942.78	0
b0106	-1700.22519555087	3416.45	0.102084
b0108	-611.602708038451	1239.21	0.0533535
b0109	-1248.50636420597	2513.01	0.0888648
b0110	-783.724095362098	1583.45	0.162308
b0111	-1161.43351751782	2338.87	0
b0112	-1982.82744893592	3981.65	0.0218949
b0113	-1033.39004161212	2082.78	0
b0114	-3676.23272487164	7368.47	0.022986
b0115	-2620.41712957986	5256.83	0.0339079
b0116	-1940.87200894002	3897.74	0
b0117	-2798.09750436421	5612.2	0.19459
b0118	-3757.22185115586	7530.44	0
b0119	-538.76869667969	1093.54	0
b0120	-1062.88282840205	2141.77	0
b0121	-1212.17130473934	2440.34	0.0615714
b0122	-641.075952807893	1298.15	0
b0123	-2264.1907580035	4544.38	0.0641025
b0124	-3463.76229017899	6943.52	0.0278735
b0125	-731.814680685745	1479.63	36.5088
