gene_id	psi
b0002	1.59994
b0003	2.55038
b0004	1.07977
b0006	1.53513
b0008	7.34314
b0009	1.03411
b0010	0
b0011	0
b0013	13.1379
b0014	5.20513
b0015	0
b0018	1.49007e-11
b0019	0.2716
b0020	0
b0021	106.082
b0023	4.98214e-09
b0024	6.41359
b0025	0.536993
b0026	57.9695
b0027	4.12458e-11
b0028	5e-09
b0029	5.0131
b0030	1.22466
b0031	4.3052
b0032	0.504809
b0033	0.771257
b0034	0
b0035	0
b0036	0
b0037	0.349657
b0039	5e-09
b0040	0
b0041	0
b0042	0
b0043	0.653451
b0044	289.465
b0046	2.78999
b0047	1.12698
b0048	15.9341
b0049	4.4314
b0050	2e-07
b0051	1.01708
b0052	5.38661
b0053	2.21027
b0054	0.884592
b0055	0
b0058	0.548299
b0059	18.9129
b0060	0.860897
b0061	0
b0062	2.11706
b0063	0
b0064	1.31519
b0065	1.39625
b0066	0.677433
b0067	0.424174
b0068	3.74084
b0069	1.02468
b0070	7.43736
b0071	0
b0072	1.77081
b0073	1.2828
b0074	0.866738
b0076	0
b0077	0.23624
b0078	0
b0080	0.534124
b0081	3.34174e-06
b0082	0
b0083	1.2e-06
b0084	5.97448
b0085	0.36442
b0086	1.31076
b0087	51.4587
b0088	6.56292
b0089	0.67742
b0090	0.292216
b0091	3.12044
b0092	0.830318
b0093	0
b0094	1.99683
b0095	0
b0096	1.2e-06
b0097	1.2e-06
b0098	6.93092
b0099	0.757896
b0101	10000
b0102	2.20008e-06
b0103	0
b0104	10.243
b0106	1.00425
b0108	0.81157
b0109	116.104
b0110	3.24562
b0111	0
b0112	0.190549
b0113	0
b0114	0
b0115	0.218277
b0116	120.767
b0117	2.42219
b0118	7.53949
b0119	0
b0120	2.00117e-07
b0121	4.43731
b0122	0
b0123	0
b0124	5.59884
b0125	0
b0126	6.2681
b0127	0
b0128	1.67654
b0129	0.397189
b0130	0.282919
b0131	2e-07
b0132	0.535826
b0133	1.36823
b0134	0.737156
b0136	1.8753
b0137	0
b0140	2.05156
b0141	1.34027
b0142	4.98728
b0143	1.48661
b0144	1.45036
b0145	2e-07
b0146	0.582701
b0147	0
b0148	0.886732
b0149	1.26664
b0150	2.98621
b0151	0.423228
b0152	0.541792
b0153	0.963085
b0154	1.50128
b0155	0.679978
b0156	1.2e-06
b0157	1.08863
b0158	2.92973
b0159	3.25546
b0161	0.775305
b0162	0
b0163	1.03815
b0164	0.497511
b0166	0
b0167	2.0069
b0168	7.52455
b0169	0
b0170	0
b0171	7.5e-08
b0172	5.00906e-09
b0173	1.04408
b0174	0
b0175	24.6256
b0176	1.4285
b0177	1.28653
b0178	1.65386
b0179	5.14575
b0180	0.162401
b0181	5.69642e-06
b0182	1.55836
b0183	0.157602
b0184	6.93648
b0185	0
b0186	1.30092
b0187	0.573221
b0188	1.99652
b0189	0
b0190	99.617
b0192	0.436976
b0193	0.890979
b0194	5.65575
b0195	0
b0196	0
b0197	0
b0198	0.437563
b0199	0.130958
b0200	0
b0207	0.207286
b0208	4.17484
b0209	5.06657
b0210	0.322189
b0211	0.181252
b0212	0.881933
b0213	2.06948
b0214	11.9593
b0215	2.09567
b0217	0.582014
b0218	8.83864e-11
b0219	0
b0220	0
b0221	0.540059
b0222	48.182
b0223	0
b0224	1.92676
b0225	2.32237
b0226	3.39503
b0227	0.94219
b0228	182.368
b0229	3.91313
b0230	0.266797
b0231	0.309369
b0234	0.687903
b0236	0
b0237	2.03743
b0238	0
b0239	0.256073
b0240	4.73451
b0241	8.78872
b0242	2.12005
b0243	2e-07
b0287	1.06926
b0299	1.85831
b0301	5.05577
b0303	0
b0304	1.79279
b0305	0.884032
b0306	0
b0307	4.65137
b0308	1.47283
b0319	1.98551
b0320	2.95212
b0321	0.15428
b0323	0.154046
b0324	2.52073
b0325	2.61053
b0326	0
b0327	75.5495
b0328	1.34355
b0343	0.85782
b0344	1.04502
b0345	4.35288e-06
b0347	0.727394
b0348	3.38591
b0350	1.864
b0351	1.78965
b0352	0
b0353	0
b0354	0.234874
b0355	0.33581
b0356	3.86711
b0357	0
b0358	1.5085
b0359	0.400504
b0360	0.286849
b0364	1.01003
b0365	0.502966
b0366	1.88376
b0367	0.147285
b0368	1.1072
b0369	0.525165
b0370	0.794566
b0374	0.534857
b0375	2e-07
b0376	2.35301
b0377	0
b0378	0.46502
b0379	2e-07
b0380	0
b0381	0.91732
b0382	7.87036e-06
b0383	0
b0384	0
b0385	0
b0386	0
b0387	0.000401161
b0388	0
b0389	0.736317
b0390	0
b0391	1.53347e-11
b0392	129.724
b0393	12.729
b0394	0.445802
b0396	0.563386
b0397	1.674
b0398	0
b0399	719.855
b0400	0.856614
b0401	3.70559
b0402	0.156205
b0403	1.02924
b0404	2.81948
b0405	3.13551
b0406	8.13348e-11
b0407	5.05312e-09
b0408	9.44907
b0409	0
b0410	148.98
b0411	0
b0412	2.43581
b0413	0
b0414	3.80119
b0415	7.50176e-08
b0416	7.5e-08
b0417	32.0245
b0418	0.707356
b0419	1.73599
b0420	2.82663
b0421	0.372034
b0422	0
b0423	0
b0424	2.80317
b0425	2.2836
b0426	37.7152
b0427	0.677524
b0428	2.59036
b0429	4.72422e-06
b0430	0
b0431	5.34278
b0432	2.16954
b0433	0
b0434	0
b0435	0
b0436	0
b0437	2.00502
b0438	0
b0439	0
b0440	1.13879e-05
b0441	3.02222
b0442	0.562573
b0443	5.69644e-06
b0444	0.891468
